Cell #,Type,Primary role / action,Notes,First line preview,Execution count,Has output
1,code,Visualization / plotting,"Imports: matplotlib, numpy, os, pandas, seaborn, sklearn | Tags: outputs results",import numpy as np,3,TRUE
2,code,Load dataset(s),Comment: data from csv files is imported to  pandas data frames | Tags: outputs results,# data from csv files is imported to pandas data frames,4,TRUE
3,code,Data exploration / inspection,Tags: outputs results,print(data_train_org.shape),5,TRUE
4,code,Model training / inference,Tags: outputs results,"data_train, data_test = train_test_split(data_train_org, test_size=0.2)",6,TRUE
5,code,Data exploration / inspection,Comment: Removing the date_first_booking column from data_train and data_test | Tags: outputs results,# Removing the date_first_booking column from data_train and data_test,7,TRUE
6,code,Data exploration / inspection,Comment: replacing gender and age values which are not present to Nan | Tags: outputs results,#replacing gender and age values which are not present to Nan,8,TRUE
7,markdown,Section heading / narrative,Heading: Missing Data,# Missing Data,,
8,code,Load dataset(s),Tags: outputs results,train_users = pd.read_csv('../data/train_users_2.csv'),10,TRUE
9,code,Data exploration / inspection,,df.head(10),11,TRUE
10,code,Miscellaneous,,"df['gender'].unique(), df['first_browser'].unique()",12,TRUE
11,code,Empty code cell,No code present,,,FALSE
12,code,Data cleaning / type fixes,,"df['gender'] = df['gender'].replace('-unknown-', np.nan)",,FALSE
13,code,Data exploration / inspection,,df.isnull().sum(),,TRUE
14,code,Data cleaning / type fixes,,"df.drop('date_first_booking', axis=1, inplace=True)",,FALSE
15,code,Data exploration / inspection,,df.isnull().sum(),,TRUE
16,markdown,Section heading / narrative,Heading: User's Age,# User's Age,,
17,code,Data exploration / inspection,,df.age.describe(),,TRUE
18,code,Data exploration / inspection,,df.loc[df['age'] > 1000]['age'].describe(),,TRUE
19,code,Data exploration / inspection,,df.loc[df['age'] < 18]['age'].describe(),,TRUE
20,code,Miscellaneous,,df_with_year = df['age'] > 1000,,FALSE
21,code,Data exploration / inspection,,df.age.describe(),,TRUE
22,code,Miscellaneous,,"df.loc[df.age > 95, 'age'] = np.nan",,FALSE
23,code,Data exploration / inspection,,df['age'].describe(),,TRUE
24,code,Data cleaning / type fixes,,"plt.figure(figsize=(12,6))",,TRUE
25,markdown,Narrative / explanation,"First sentence: As expected, the most common age of Airbnb users is between 25 and 40.","As expected, the most common age of Airbnb users is between 25 and 40.",,
26,markdown,Section heading / narrative,Heading: User's Gender,# User's Gender,,
27,code,Data exploration / inspection,,df.head(),,TRUE
28,code,Data cleaning / type fixes,,"plt.figure(figsize=(12,6))",,TRUE
29,markdown,Narrative / explanation,First sentence: Approx.,Approx. 45% of users' gender were not presented. And there is no significant difference between female and male users on Airbnb's platform.,,
30,markdown,Section heading / narrative,Heading: Travel Destination Country,# Travel Destination Country,,
31,code,Visualization / plotting,,"plt.figure(figsize=(12,6))",,TRUE
32,markdown,Narrative / explanation,First sentence: Nearly 60% of users did not book any destination (NDF).,"Nearly 60% of users did not book any destination (NDF). The most booked country is the US (nearly 30% of all users booked US), given all...",,
33,code,Visualization / plotting,,"plt.figure(figsize=(12,6))",,TRUE
34,markdown,Narrative / explanation,First sentence: There were no significant age difference among users who book difference destinations.,"There were no significant age difference among users who book difference destinations. However, users who booked Great Britain tend to be...",,
35,markdown,Section heading / narrative,Heading: User's Signup,# User's Signup,,
36,code,Visualization / plotting,,"plt.figure(figsize=(12,6))",,TRUE
37,markdown,Narrative / explanation,"First sentence: Over 70% of all bookers in the data used basic email method to sign up with Airbnb, and less than 30% of bookers used th","Over 70% of all bookers in the data used basic email method to sign up with Airbnb, and less than 30% of bookers used their facebook...",,
38,code,Visualization / plotting,,"plt.figure(figsize=(12,6))",,TRUE
39,markdown,Narrative / explanation,"First sentence: For users who made booking at least once, most of them signed up with Airbnb through basic email method, no matter which","For users who made booking at least once, most of them signed up with Airbnb through basic email method, no matter which country they...",,
40,code,Visualization / plotting,,"plt.figure(figsize=(12,6))",,TRUE
41,markdown,Narrative / explanation,"First sentence: Over 85% of all bookers in the data set signed up on Airbnb's website, over 10% of all bookers signed up with iOs.","Over 85% of all bookers in the data set signed up on Airbnb's website, over 10% of all bookers signed up with iOs.",,
42,code,Visualization / plotting,,"plt.figure(figsize=(12,6))",,TRUE
43,markdown,Narrative / explanation,First sentence: US bookers have more variety of sign up apps than bookers in other countries.,"US bookers have more variety of sign up apps than bookers in other countries. To see more clearer, we remove the US.",,
44,code,Visualization / plotting,,df_without_NDF_US = df_without_NDF[df_without_NDF['country_destination']!='US'],,TRUE
45,markdown,Narrative / explanation,First sentence: Signing up through Airbnb website is the most common sign up on booking every destination country in the data.,Signing up through Airbnb website is the most common sign up on booking every destination country in the data.,,
46,markdown,Section heading / narrative,Heading: Affiliate,# Affiliate,,
47,code,Visualization / plotting,,"plt.figure(figsize=(12,6))",,TRUE
48,code,Visualization / plotting,,"plt.figure(figsize=(12,6))",,TRUE
49,markdown,Narrative / explanation,First sentence: Let's remove the US again.,Let's remove the US again.,,
